department,job_role,salary,overtime,overtime_hours,hours_worked,projects_handled,performance_rating,productivity_score,years_at_company,attrition,hourly_rate,overtime_cost,efficiency_score,high_risk
Sales,Sales Executive,5993.0,Yes,15.0,55.0,8,3.0,0.6,6,Yes,37.45625,561.84375,0.0375,1
Research & Development,Research Scientist,5130.0,No,5.0,45.0,8,4.0,0.8,10,No,32.0625,160.3125,0.13333333333333333,0
Research & Development,Laboratory Technician,2090.0,Yes,15.0,55.0,3,3.0,0.6,0,Yes,13.0625,195.9375,0.0375,1
Research & Development,Research Scientist,2909.0,Yes,15.0,55.0,7,3.0,0.6,8,No,18.18125,272.71875,0.0375,1
Research & Development,Laboratory Technician,3468.0,No,5.0,45.0,6,3.0,0.6,2,No,21.675,108.375,0.09999999999999999,0
Research & Development,Laboratory Technician,3068.0,No,5.0,45.0,8,3.0,0.6,7,No,19.175,95.875,0.09999999999999999,0
Research & Development,Laboratory Technician,2670.0,Yes,15.0,55.0,7,4.0,0.8,1,No,16.6875,250.3125,0.05,0
Research & Development,Laboratory Technician,2693.0,No,5.0,45.0,5,4.0,0.8,1,No,16.83125,84.15625,0.13333333333333333,0
Research & Development,Manufacturing Director,9526.0,No,5.0,45.0,8,4.0,0.8,9,No,59.5375,297.6875,0.13333333333333333,0
Research & Development,Healthcare Representative,5237.0,No,5.0,45.0,7,3.0,0.6,7,No,32.73125,163.65625,0.09999999999999999,0
Research & Development,Laboratory Technician,2426.0,No,5.0,45.0,6,3.0,0.6,5,No,15.1625,75.8125,0.09999999999999999,0
Research & Development,Laboratory Technician,4193.0,Yes,15.0,55.0,5,3.0,0.6,9,No,26.20625,393.09375,0.0375,1
Research & Development,Research Scientist,2911.0,No,5.0,45.0,6,3.0,0.6,5,No,18.19375,90.96875,0.09999999999999999,0
Research & Development,Laboratory Technician,2661.0,No,5.0,45.0,4,3.0,0.6,2,No,16.63125,83.15625,0.09999999999999999,0
Research & Development,Laboratory Technician,2028.0,Yes,15.0,55.0,3,3.0,0.6,4,Yes,12.675,190.125,0.0375,1
Research & Development,Manufacturing Director,9980.0,No,5.0,45.0,5,3.0,0.6,10,No,62.375,311.875,0.09999999999999999,0
Research & Development,Research Scientist,3298.0,Yes,15.0,55.0,6,3.0,0.6,6,No,20.6125,309.1875,0.0375,1
Research & Development,Laboratory Technician,2935.0,Yes,15.0,55.0,3,3.0,0.6,1,No,18.34375,275.15625,0.0375,1
Sales,Manager,15427.0,No,5.0,45.0,6,3.0,0.6,25,No,96.41875,482.09375,0.09999999999999999,0
Research & Development,Research Scientist,3944.0,Yes,15.0,55.0,7,3.0,0.6,3,No,24.65,369.75,0.0375,1
Research & Development,Manufacturing Director,4011.0,No,5.0,45.0,4,3.0,0.6,4,No,25.06875,125.34375,0.09999999999999999,0
Sales,Sales Representative,3407.0,No,5.0,45.0,8,4.0,0.8,5,Yes,21.29375,106.46875,0.13333333333333333,0
Research & Development,Research Director,11994.0,No,5.0,45.0,3,3.0,0.6,12,No,74.9625,374.8125,0.09999999999999999,0
Research & Development,Research Scientist,1232.0,No,5.0,45.0,4,3.0,0.6,0,No,7.7,38.5,0.09999999999999999,0
Research & Development,Research Scientist,2960.0,No,5.0,45.0,7,3.0,0.6,4,Yes,18.5,92.5,0.09999999999999999,0
Research & Development,Manager,19094.0,No,5.0,45.0,3,3.0,0.6,14,No,119.3375,596.6875,0.09999999999999999,0
Research & Development,Research Scientist,3919.0,Yes,15.0,55.0,5,4.0,0.8,10,Yes,24.49375,367.40625,0.05,0
Sales,Sales Executive,6825.0,No,5.0,45.0,3,3.0,0.6,9,No,42.65625,213.28125,0.09999999999999999,0
Research & Development,Healthcare Representative,10248.0,No,5.0,45.0,7,3.0,0.6,22,No,64.05,320.25,0.09999999999999999,0
Sales,Manager,18947.0,No,5.0,45.0,4,3.0,0.6,2,No,118.41875,592.09375,0.09999999999999999,0
Research & Development,Laboratory Technician,2496.0,No,5.0,45.0,4,3.0,0.6,1,No,15.6,78.0,0.09999999999999999,0
Research & Development,Healthcare Representative,6465.0,Yes,15.0,55.0,8,3.0,0.6,4,No,40.40625,606.09375,0.0375,1
Research & Development,Laboratory Technician,2206.0,No,5.0,45.0,3,3.0,0.6,10,No,13.7875,68.9375,0.09999999999999999,0
Sales,Sales Representative,2086.0,No,5.0,45.0,3,3.0,0.6,1,Yes,13.0375,65.1875,0.09999999999999999,0
Research & Development,Research Scientist,2293.0,Yes,15.0,55.0,6,3.0,0.6,2,Yes,14.33125,214.96875,0.0375,1
Research & Development,Research Scientist,2645.0,No,5.0,45.0,7,3.0,0.6,5,No,16.53125,82.65625,0.09999999999999999,0
Sales,Sales Representative,2683.0,Yes,15.0,55.0,4,3.0,0.6,3,Yes,16.76875,251.53125,0.0375,1
Sales,Sales Representative,2014.0,No,5.0,45.0,8,3.0,0.6,2,No,12.5875,62.9375,0.09999999999999999,0
Research & Development,Research Scientist,3419.0,Yes,15.0,55.0,4,3.0,0.6,1,No,21.36875,320.53125,0.0375,1
Sales,Sales Executive,5376.0,No,5.0,45.0,8,3.0,0.6,5,No,33.6,168.0,0.09999999999999999,0
Research & Development,Laboratory Technician,1951.0,No,5.0,45.0,8,3.0,0.6,1,No,12.19375,60.96875,0.09999999999999999,0
Research & Development,Laboratory Technician,2341.0,No,5.0,45.0,6,3.0,0.6,1,No,14.63125,73.15625,0.09999999999999999,0
Research & Development,Laboratory Technician,2293.0,No,5.0,45.0,4,3.0,0.6,1,Yes,14.33125,71.65625,0.09999999999999999,0
Sales,Sales Executive,8726.0,No,5.0,45.0,8,3.0,0.6,9,No,54.5375,272.6875,0.09999999999999999,0
Research & Development,Laboratory Technician,4011.0,No,5.0,45.0,4,4.0,0.8,12,No,25.06875,125.34375,0.13333333333333333,0
Research & Development,Research Director,19545.0,No,5.0,45.0,4,3.0,0.6,22,Yes,122.15625,610.78125,0.09999999999999999,0
Sales,Sales Executive,4568.0,No,5.0,45.0,5,4.0,0.8,9,No,28.55,142.75,0.13333333333333333,0
Research & Development,Research Scientist,3022.0,No,5.0,45.0,3,4.0,0.8,1,No,18.8875,94.4375,0.13333333333333333,0
Sales,Sales Executive,5772.0,Yes,15.0,55.0,7,4.0,0.8,9,No,36.075,541.125,0.05,0
Research & Development,Laboratory Technician,2269.0,No,5.0,45.0,8,3.0,0.6,1,No,14.18125,70.90625,0.09999999999999999,0
Research & Development,Laboratory Technician,5381.0,Yes,15.0,55.0,7,3.0,0.6,1,Yes,33.63125,504.46875,0.0375,1
Research & Development,Laboratory Technician,3441.0,Yes,15.0,55.0,3,3.0,0.6,2,Yes,21.50625,322.59375,0.0375,1
Sales,Sales Executive,5454.0,Yes,15.0,55.0,8,4.0,0.8,4,No,34.0875,511.3125,0.05,0
Research & Development,Healthcare Representative,9884.0,Yes,15.0,55.0,8,3.0,0.6,4,No,61.775,926.625,0.0375,1
Sales,Sales Executive,4157.0,Yes,15.0,55.0,4,3.0,0.6,2,No,25.98125,389.71875,0.0375,1
Research & Development,Research Director,13458.0,Yes,15.0,55.0,6,3.0,0.6,15,No,84.1125,1261.6875,0.0375,1
Sales,Sales Executive,9069.0,No,5.0,45.0,4,4.0,0.8,9,No,56.68125,283.40625,0.13333333333333333,0
Research & Development,Laboratory Technician,4014.0,Yes,15.0,55.0,4,3.0,0.6,2,No,25.0875,376.3125,0.0375,1
Research & Development,Laboratory Technician,5915.0,No,5.0,45.0,3,4.0,0.8,7,No,36.96875,184.84375,0.13333333333333333,0
Research & Development,Manufacturing Director,5993.0,No,5.0,45.0,3,3.0,0.6,7,No,37.45625,187.28125,0.09999999999999999,0
Research & Development,Manufacturing Director,6162.0,Yes,15.0,55.0,5,4.0,0.8,9,No,38.5125,577.6875,0.05,0
Research & Development,Laboratory Technician,2406.0,No,5.0,45.0,5,3.0,0.6,10,No,15.0375,75.1875,0.09999999999999999,0
Research & Development,Research Director,18740.0,Yes,15.0,55.0,8,3.0,0.6,27,No,117.125,1756.875,0.0375,1
Sales,Sales Executive,7637.0,No,5.0,45.0,6,3.0,0.6,21,No,47.73125,238.65625,0.09999999999999999,0
Research & Development,Healthcare Representative,10096.0,No,5.0,45.0,6,3.0,0.6,17,No,63.1,315.5,0.09999999999999999,0
Research & Development,Manager,14756.0,Yes,15.0,55.0,4,3.0,0.6,5,No,92.225,1383.375,0.0375,1
Research & Development,Manufacturing Director,6499.0,No,5.0,45.0,5,3.0,0.6,6,No,40.61875,203.09375,0.09999999999999999,0
Research & Development,Research Scientist,9724.0,No,5.0,45.0,7,3.0,0.6,1,No,60.775,303.875,0.09999999999999999,0
Research & Development,Research Scientist,2194.0,No,5.0,45.0,8,3.0,0.6,3,No,13.7125,68.5625,0.09999999999999999,0
Research & Development,Research Scientist,3388.0,Yes,15.0,55.0,5,3.0,0.6,1,Yes,21.175,317.625,0.0375,1
Sales,Sales Executive,5473.0,No,5.0,45.0,5,3.0,0.6,4,No,34.20625,171.03125,0.09999999999999999,0
Research & Development,Research Scientist,2703.0,No,5.0,45.0,8,4.0,0.8,5,No,16.89375,84.46875,0.13333333333333333,0
Research & Development,Research Scientist,2501.0,No,5.0,45.0,8,3.0,0.6,1,No,15.63125,78.15625,0.09999999999999999,0
Research & Development,Research Scientist,6220.0,No,5.0,45.0,8,3.0,0.6,10,No,38.875,194.375,0.09999999999999999,0
Research & Development,Laboratory Technician,3038.0,No,5.0,45.0,7,3.0,0.6,1,No,18.9875,94.9375,0.09999999999999999,0
Research & Development,Manufacturing Director,4424.0,No,5.0,45.0,6,4.0,0.8,11,No,27.65,138.25,0.13333333333333333,0
Sales,Sales Executive,4312.0,No,5.0,45.0,4,3.0,0.6,15,No,26.95,134.75,0.09999999999999999,0
Research & Development,Research Director,13245.0,Yes,15.0,55.0,3,3.0,0.6,0,No,82.78125,1241.71875,0.0375,1
Research & Development,Research Director,13664.0,No,5.0,45.0,4,3.0,0.6,5,No,85.4,427.0,0.09999999999999999,0
